,name,gender
6153,hazu,0
6154,sugai,1
6160,ansul,1
6165,rampher,1
6172,susma,0
6185,asiwani,1
6190,vinos,1
6194,mandi,0
6203,ku.swati,0
6211,samon,1
6217,patender,1
6219,shiba,0
6230,munnadevi,0
6234,pree,0
6245,gurubaksh,1
6248,majoo,0
6249,gulashan,1
6253,shaulal,1
6258,shine,0
6269,jiwan,1
6281,tapsam,0
6293,aisha,0
6294,sok.,1
6317,osier,1
6318,rinkal,1
6324,sidharath,1
6334,ompal,1
6336,chhinderpal,1
6351,kaari,1
6354,mjudi,0
6371,joyate,0
6375,sharinimle,0
6380,alok@mona,0
6383,parsant,1
6387,chela,1
6406,emran,1
6420,rennu,0
6424,bhrkat,1
6428,istkhar,1
6444,tiwankle,0
6447,raghuvir,1
6480,deeksha,0
6499,islamuddin,1
6500,silvia,0
6501,sabana@moni,0
6509,chosh,1
6512,sodan,1
6520,chitprit,1
6527,spna,0
6530,narender@narender,1
6532,suhsmita,0
6534,samman,0
6538,v.r.thomas,1
6541,araslan,1
6553,rafi,1
6556,samaiali,0
6567,nirja,0
6568,muni,0
6580,ashak,1
6588,sabi,1
6591,dhurpati,1
6593,pramal,1
6594,bhawan,1
6595,fuljhadi,0
6597,avadh,1
6599,aditiya,1
6614,maniram,1
6623,aishe,0
6626,shanno,0
6627,batloon,0
6637,jhuma,0
6642,navleen,0
6645,thakur,1
6646,sawrn,1
6661,diti,0
6662,saveta,0
6674,pawna,1
6678,tohid,1
6682,gattu,0
6683,vashila,0
6698,modh.,1
6699,ramkumari,1
6705,prashanat,1
6707,lukkad,1
6716,bhoopsingh,1
6736,kesri,1
6738,madhan,1
6741,pardhuman,1
6764,gulpacha,0
6774,asiya,0
6776,bhakuni,0
6778,bilkis,0
6780,gaurav@,1
6782,yespal,1
6788,hamza,1
6810,rudmal,1
6811,mhega,0
6814,saahin,0
6820,toni@punit,1
6821,aakar,1
6835,khushnudi,0
6862,shabuddin,1
6866,durg,1
6873,nanshi,0
6877,shrawan,1
6880,meer,1
6884,gutam,1
6890,bodh,1
6904,darshna,0
6905,albina,0
6917,fooljhnah,0
6919,mehphal,1
6924,mum,1
6927,anuja,0
6929,iklakh,1
6936,matok,1
6966,gajraj,1
6968,tepu,1
6973,nishant@,1
6983,shefali,0
6987,anjara,0
6989,nishar,0
7001,keta,0
7004,sohi,0
7006,rakeeba,0
7010,pervinder,1
7014,dhrambir,1
7037,noomi,0
7040,harry,0
7049,yognder,1
7053,kasish,0
7054,daman,1
7066,senser,1
7073,vinod@badri,1
7079,vaishanvi,0
7080,goldan,0
7083,smt.khasti,0
7093,ashfaq,1
7094,narpendra,1
7098,shahina,0
7103,jebi,0
7110,mudsay,0
7111,manojkumar,1
7115,wareesha,0
7119,birtha,0
7120,alkesh,0
7123,jeeth,1
7132,ranjay,1
7138,kauva,1
7142,puspa&,0
7161,rambhajan,1
7171,chandar,1
7172,suchitra,0
7178,abash,1
7189,lakshit,1
7203,chandracala,0
7215,nikil,0
7222,chettan,1
7223,shi,1
7224,baggusingh,1
7227,mashli,0
7229,kushbu,0
7236,mohd.kudtusu,1
7247,jassi,0
7251,veera,0
7254,moh.javed,1
7256,kawa,1
7267,bhanweri,0
7276,sauhal,1
7279,safila,0
7280,jashinal,0
7299,adi,1
7300,rishiraj,1
7301,surgayan,1
7305,prabhjit,1
7315,sitender,1
7346,ghaseeta,1
7351,srishty,0
7357,pratap,1
7368,mandvi,0
7373,job,1
7380,sahdab,1
7392,huseni,0
7395,teekam,1
7397,shadik,1
7409,sahrukh,1
7420,lakhua,1
7431,roshanlal,1
7446,sulender,1
7462,oma,0
7473,mesak,1
7474,choga,1
7477,sriniwash,1
7498,ashnu,0
7510,sunaki,0
7513,lakhami,1
7532,gyandeep,1
7533,shahnabaz,1
7535,mahfooj,1
7540,shiena,0
7544,chamanlal,1
7570,chaterpal,1
7594,anikt,1
7596,halki,0
7603,sitra,0
7608,popinder,1
7626,hazi,1
7653,alahbasri,0
7659,puranmal,1
7661,jahani,0
7669,aatam,1
7686,rahi@,0
7689,satyavati,0
7696,kripya,0
7704,sajana,0
7720,viraj,1
7735,gurmel,0
7737,lave,1
7741,ekata,0
7746,ruzina,0
7753,pokhar,1
7760,youraj,1
7762,sabreen,0
7764,vasuki,1
7766,manno,0
7778,dorilal,1
7784,banu,0
7794,raspal,1
7804,paul,1
7806,ruhi,0
7810,lavi,0
7814,mishrilaal,1
7815,bikki,1
7821,indernath,1
7830,khumlo,0
7831,aparna,0
7844,utpana,0
7856,farukh,1
7873,jon,1
7889,khima,0
7894,ankaj,1
7895,zoya,0
7897,subhdra,0
7902,vicakha,0
7905,rohaan,1
7910,dhawal,1
7914,nooruddin,1
7915,dhanpati,0
7924,vesali,0
7926,reekha,0
7927,veepal,1
7929,diljan,1
7931,najar,1
7936,amol,1
7942,saveroon,0
7954,sadiya,0
7960,beenu,1
7977,gulsan,0
7998,susanto,1
8016,mihir,1
8024,nana,0
8028,nanku,1
8034,vironika,0
8037,mulina,0
8040,roshanara,0
8047,taramati,0
8053,sehbaj,1
8078,sarif,1
8085,wakar,1
8087,kuwar,1
8094,sudhanshu,1
8106,shela,0
8121,susmata,1
8124,bhan,1
8127,bishana,1
8146,deepi,1
8149,nathulal,1
8151,shokat,1
8165,papiya,0
8169,dd,1
8174,islamudin,1
8175,lakshaya,1
8199,arindra,1
8201,kalwati,0
8220,shadiya,0
8233,vilram,1
8251,robert,1
8258,trilochan,1
8259,fauji,0
8261,prmod,1
8264,josin,1
8273,omparkesh,1
8275,alish,0
8282,umrawti,0
8283,shabra,0
8299,ish,1
8301,vishamitra,1
8324,maksud,1
8347,rambarose,1
8348,rayish,1
8357,anjali@rinku,0
8383,rajam,1
8388,navnit,1
8389,mujibu,1
8412,sahabudeen,1
8418,abha,0
8419,manowar,1
8428,susmita,0
8431,sahawaj,0
8440,reetima,0
8446,juneb,0
8450,mena,0
8458,kalua,1
8459,amzad,1
8460,samvedna,0
8476,tohseeem,1
8482,himashu,1
8484,dhaney,1
8485,sajda,0
8491,bigan,0
8500,mustak,1
8508,sotaj,1
8510,amlesh,1
8513,pushpan,0
8517,shakshi@,0
8541,khubhu,0
8551,yusaf,1
8568,samser,1
8571,dabbu,1
8572,lok,1
8573,hasibul,1
8585,shyamvati,0
8593,mamt,0
8596,gurucharan,1
8601,pemaram,1
8612,ratneswar,1
8622,hariesh,1
8633,meeramai,0
8634,vedanand,1
8638,bipin,1
8643,yusuf,1
8666,dilshadi,0
8674,tribavan,1
8675,yashsvi,0
8688,rahimun,0
8703,adesh,1
8707,dhrampal,1
8709,minkashi,0
8731,aadish,1
8736,kumresh,1
8738,hardev,1
8739,ballu,1
8744,sidheswar,1
8755,jamee,0
8759,jugani,0
8770,shaid,1
8787,bhagya,0
8800,banju,1
8801,soba,0
8811,reeti,0
8813,rucksana,0
8822,sufian,1
8839,irtu,0
8841,durgawati,0
8845,tekchand,1
8848,libin,1
8856,mohd.javed,1
8874,sarshwati,0
8876,smriti,0
8882,wasimuddin,1
8884,sabila,0
8885,pushpanjali,0
8895,shankar@,1
8899,tavvasum,0
8904,jitendera,1
8926,ritunjay,1
8943,tabwsum,0
8948,jioty,0
8959,sawarmal,1
8963,pahalwan,1
8965,mahroj,1
8973,hasbul,0
8974,sinaa,0
8976,radhamohan,1
8983,rajider,1
8987,batu@,1
8988,nandram,1
8992,karim,1
